User,Category,Tweet,Date & Time
@DZMMTeleRadyo,Earthquake,"Magnitude 3.9 na lindol sa timog-silangan ng Basco, Batanes kaninang 4:21pm | @dzmmRP45",3/2/16 8:27
@dzrhnews,Earthquake,"JUST IN: Magnitude 3.5 lindol sa New Bataan, Compostella Valley (3:22PM) http://fb.me/4ZEdUKsVc I @phivolcs_dost",6/7/16 4:42
@dzbb,Earthquake,"Magnitude 3.8 na lindol, naitala sa Lalawigan ng Quezon. | via @VargasMannysen",3/2/16 7:25
@dzrhnews,Earthquake,"JUST IN: Magnitude 3.4 lindol naitala sa Sta. Cruz, Zambales (2:09PM)",3/2/16 0:12
@dzIQ990,Earthquake,"Nasugbu, Batangas, niyanig ng magnitude 3.4 na lindol kaninang 5:49AM | @phivolcs_dost",2/22/16 22:24
@dzrhnews,Earthquake,"JUST IN: Magnitude 3.4 lindol naitala sa Burgos, Surigao del Norte (3:30PM)",6/6/16 5:59
@dzbb,Earthquake,"San Policarpo, Eastern Samar, niyanig ng magnitude 4.2 na lindol. | via @phivolcs_dost",6/6/16 5:28
@dzIQ990,Earthquake,"UPDATED: Davao Oriental, niyanig ng magnitude 5 na lindol - DZIQ Radyo Inquirer 990AM",5/6/16 18:37
@dzrhnews,Earthquake,"EARLIER: Magnitude 3.4 lindol naitala sa Aroroy, Masbate (7:38AM)",6/5/16 17:29
@dzIQ990,Earthquake,"3 ang sugatan, 4 na bahay ang nasira dahil sa Magnitude 6 na lindol sa Zamboanga Del Norte",6/5/16 13:48
@dzrhnews,Earthquake,"JUST IN: Magnitude 3.1 lindol naitala sa Basay, Negros Oriental (3:47PM)",6/6/16 11:10
@dzrhnews,Earthquake,"EARLIER: Mag 6.0 lindol naitala sa Baliguian, Zamboanga del Norte (2:21AM)",6/6/16 9:38
@news5AKSYON,Earthquake,"#TV5AksyonsaTanghali | Zamboanga Del Norte, niyanig ng magnitude 6 na lindol kaninang madaling araw.",6/5/16 11:07
@dzbb,Earthquake,"Bayan ng Gutalac, Zamboanga del Norte niyanig ng magnitude 5.7 na lindol.",6/4/16 5:38
@dzIQ990,Earthquake,"Bayugan City, Agusan Del Sur niyanig ng 3.7 magnitude na lindol kaninang 7:10AM. Intensity III naitala sa Butuan City | @chonayu1",6/4/16 1:27
@dzIQ990,Earthquake,"Batac, Ilocos Norte niyanig ng magnitude 3.2 na lindol ngayong 8:49AM. Intensity II naramdaman sa Pasuquin, Ilocos Norte | @phivolcs_dost",6/4/16 1:09
@dzbb,Earthquake,"FLASH: Botolan, Zambales, niyanig ng magnitude 3.6 na lindol; intensity II, ramdam naman sa Iba. | via @allangatus",6/4/16 0:43
@dzbb,Earthquake,"FLASH: Masbate, niyanig ng Magnitude 4.8 na lindol; Intensity 4, naramdaman sa Masbate City at bayan ng San Jacinto. | @luisitosantos03",12/13/14 7:13
@inqurerdotnoet,Earthquake,"1,581 aftershocks ang naitala sa Bohol. 29 dito ang naramdaman as of 5AM. - @NDRRMC_OpCen #earthquakePH | via @dzIQ990",6/3/16 20:33
@DZMMTeleRadyo,Earthquake,"Intensity 5 na pagyanig, naramdaman sa Naval, Biliran | Ulat ni @dzmmRP45",6/3/16 16:14
@IMReadyPH,Earthquake,ICYMI: Nagkaroon ng Magnitude 6 na lindol sa #Zamboanga del Norte pasado 2am kanina.,6/3/16 12:14
@dzrhnews,Earthquake,"Lalawigan ng Bohol, niyanig ng 4.1 magnitude na lindol #RapidoHatawBalita",1/10/16 3:47
@gmanewsbreaking,Earthquake,"UPDATE: Magnitude 5.7 ang naitalang lindol sa may Gutalac, Zamboanga del Norte, ayon sa @phivolcs_dost.",6/3/16 12:13
@dzrhnews,Earthquake,"Just in: Looc, Occidental Mindoro, niyanig ng 3.2 magnitude na lindol | via @phivolcs_dost",6/3/16 9:59
@dzrhnews,Earthquake,"JUST IN: Magnitude 2.2 lindol naitala sa Looc, Occidental Mindoro (6:59AM)",6/3/16 9:58
@dzrhnews,Earthquake,"#UPDATE: Magnitude 4.1 na lindol yumanig sa Danao, Bohol (7:01AM)",6/2/16 21:33
@dzrhnews,Earthquake,"#UPDATE: Magnitude 4.8 na lindol naitala sa Iba, Zambales (6:46AM)",6/3/16 5:18
@dzrhnews,Earthquake,"JUST IN: Magnitude 3.5 lindol naitala sa Laoang, Northern Samar (11:03AM)",6/3/16 4:51
@dzbb,Earthquake,"FLASH: Iba, Zambales, niyanig ng magnitude 4 na lindol kaninang 6:46 am. | via @allangatus",12/16/15 0:52
@dzbb,Earthquake,"Gutalac, Zamboanga del Norte, niyanig ng magnitude 3.4 na lindol. | via @phivolcs_dost",6/2/16 1:15
@IMReadyPH,Earthquake,"#LINDOL - 12:23AM | 219 km SE of Sarangani, #Davao Occidental Mag. 5.1 - @phivolcs_dost",6/1/16 22:29
@dzIQ990,Earthquake,"Magnitude 5.6 na lindol, tumama sa karagatan ng Sarangani - DZIQ Radyo Inquirer 990AM",7/11/15 4:05
@dzIQ990,Earthquake,"Anda, Bohol niyanig ng magnitude 4.6 na lindol ngayong 5:01 ng umaga | @phivolcs_dost",6/9/16 17:07
@dzrhnews,Earthquake,"JUST IN: Magnitude 4.0 na lindol naitala sa Anini-y, Antique (1:10PM)",6/9/16 14:31
@dzIQ990,Earthquake,"Anda, Bohol niyanig ng magnitude 4.6 na lindol ngayong 5:01 ng umaga | @phivolcs_dost",6/9/16 13:29
@dzrhnews,Earthquake,"JUST IN: 2.8 magnitude lindol naitala sa Calayan, Cagayan (10:30AM)",6/9/16 12:57
@dzrhnews,Earthquake,"#UPDATE: Bislig City, niyanig ng magnitude 3.1 na lindol (1:01AM) http://fb.me/TDHZTeAJ I",6/3/16 4:16
@dzrhnews,Earthquake,"JUST IN: T'boli,South Cotabato niyanig ng magnitude 3.7 na lindol(10:43AM)",5/23/16 20:37
@dzbb,Typhoon,"#Dodong Signal no. 1; Rest of Aurora, Abra, Ilocos Sur/Norte, Benguet, Nueva Ecija, Nueva Vizcaya",5/23/16 17:41
@RomblonNews,Typhoon,Bagyong #Chedeng inaasahan hindi makakaapekto sa Romblon dahil sa kanyang paghina,5/23/16 17:00
@newsinvideos,Typhoon,"March 6,2015 Mga #Tinamaan ni '#Chedeng', #walang #Naiulat na #Sugatan o #Sawi @newsinvideos",7/9/15 17:06
@newsinvideos,Typhoon,24 #Oras: #Pagasa: #Lumabas na ng par ang lpa na #Dating #Bagyong,6/6/16 23:19
@newsinvideos,Typhoon,"#Bagyong #chedeng,isa nang low #pressure #Area",6/6/16 22:23
@newsinvideos,Typhoon,UB: #NDRMMC: #Zero #Casualty sa #Bagyong #Chedeng,5/21/16 3:42
@BalitaNgayon,Typhoon,"11AM dost_pagasa Bulletin: Typhoon #Chedeng, bahagyang bumilis habang papalapit sa Isabela-Aurora via DZMM",5/19/16 22:45
@newsinvideos,Typhoon,"#Isabela, #Makulimlim na #Dahil kay '#Chedeng'",5/17/16 16:48
@DZAR1026,Typhoon,"Pinsala ng bagyong #Egay,umabot na ng P165-M ayon sa @NDRRMC_OpCen | via @AdmarV26",5/15/16 19:41
@newsinvideos,Typhoon,BT: #Malakas na #ulang #Dala ng #bagyong #Papangalanang '#Chedeng',5/15/16 19:32
@brigadadotph,Typhoon,"NDRRMC Operation Center, isinailalim na sa red alert #Egay PH",5/15/16 13:22
@newsinvideos,Typhoon,"Bagyong #Domeng sa labas ng PAR, inaasahang papasok sa PInas sa Linggo/Lunes",5/10/16 17:36
@dzbb,Typhoon,"#Superbalita headline: Bagyong #Egay, hindi gumagalaw sa loob ng 6 oras matapos maglandfall sa Palanan, Isabela kagabi.",4/4/14 5:07
@DZMMTeleRadyo,Typhoon,"Breaking: Bagyong #FalconPh, nakapasok na ng PAR kaninang 9:30PM",6/6/16 19:07
@dzrhnews,Typhoon,"Bagyong '#Egay', napanatili ang lakas habang palapit sa northern Luzon #RHBalitaAgad",4/5/16 1:17
@dzbb,Typhoon,#Superbalita headline: Bagyong #Egay inaasahang muling magla-landfall sa Batanes!,4/4/16 18:18
@newsinvideos,Typhoon,"24 #Oras: Mahigit 100,000 #Nasalanta ng #Bagyong #lando, #Hinatiran ng tulong ng Kapuso Foundation",4/3/16 16:15
@dzrhnews,Typhoon,"Taglay ng bagyo ang lakas ng hangin na 165 kph, pagbugso na 200 kph at kumikilos sa direksyong Northwest sa bilis na 13 kph I @dost_pagasa",2/15/16 12:33
@IMReadyPH,Typhoon,"Weather Update: Matapos manalasa sa Visayas at Mindanao, humina na at isa na lang low pressure area ang dating Bagyong #SeniangPH.",3/5/16 10:17
@newsinvideos,Typhoon,"#Bagyong #lando, #inaasahang magla-landfall sa Isabel-Aurora area sabado ng gabi o linggo ng umaga",2/16/16 7:09
@dzbb,Typhoon,"#SuperBalitaSaHapon: China, binabayo ngayon ng Bagyong Chan-hom na tinawag na Bagyong #FalconPH dito sa Pilipinas.",2/10/16 5:33
@gmanews,Typhoon,"#Bagyong #Onyok, #inaasahan #tatama sa #Davao #Oriental",10/19/15 6:34
@DZMMTeleRadyo,Typhoon,"#RadyoPatrol Halaga ng pinsalang idinulot ni #RubyPH, umabot na sa P3.3 bilyon",10/15/15 1:33
@News5AKSYON,Typhoon,#SeniangPH as of 5am: Signal #2 - Calamian Group of Islands and Cuyo Island Signal #1 - Palawan,9/26/15 20:48
@ABSCBNNews,Typhoon,"#Mindanao, #Binaha #Dahil sa #Bagyong '#Onyok'",9/3/15 8:11
@gmanews,Typhoon,"Bilang ng mga nasawi sa pananalasa ng Bagyong #SeniangPH, nasa 35 na, ayon kay NDRRMC Exec. Dir. Alex Pama. | via @dzbb",9/1/15 18:14
@dzbb,Typhoon,"JUST IN: Bagyong #Onyok, napanatili ang kanyang lakas habang patuloy na nagbabanta sa Caraga region.",8/14/15 5:48
@dzbb,Typhoon,"Bagyong #LandoPH, nag-iwan ng 41 patay at 78 sugatan, ayon sa NDRRMC.",8/12/15 3:38
@DZMMTeleRadyo,Typhoon,"#Onyok, inaasahang tatama sa silangang bahagi ng MIndanao, Biyernes ng hapon",8/2/15 6:01
@dzbb,Typhoon,"Bilang ng nasawi bunsod ng pananalasa ng bagyong #NonaPH, umakyat na sa 8. #SuperBalitaSaUmagaNationwide",7/30/15 1:02
@dzrhnews,Typhoon,Typhoon #FalconPH umalis na ng bansa ngunit habagat patuloy na magpapaulan sa malaking bahagi ng bansa. #MagandangUmagaPilipinas,7/24/16 6:19
@News5AKSYON,Typhoon,"#SeniangPH Signal No. 1 - Calamian Group of Islands, Negros Occidental, Aklan, Capiz, Rest of Iloilo, Rest of Antique.",7/14/16 0:39
@IMReadyPH,Typhoon,"Nasawi sa Bagyong #SeniangPH, umabot na sa 54 | via @gmanews",10/18/16 2:33
@gmanews,Typhoon,"Isa ang nasawi at isa ang nawawala matapos ang pagtigil ng Bagyong #ButchoyPH sa PAR, batay sa tala ng NDRRMC.",10/17/13 2:38
@TVPatrol,Typhoon,#TVPatrol NDRRMC: Bilang ng namatay sa bagyong #SeniangPH nasa 53 na. Ulat ni @Jorge_Carino,10/17/13 1:15
@DZMMTeleRadyo,Typhoon,"Bagyong #SeniangPH, lalo pang humina; S. Palawan, signal no. 1",7/8/16 17:12
@gmanews,Typhoon,"Bilang ng mga nasawi sa pananalasa ng bagyong #SeniangPH, pumalo na sa 53 mula sa 35. äóñ @NDRRMC_OpCen | via @glenjuego @dzbb",1/1/15 15:30
@dzrhnews,Typhoon,"Sa ngayon, nakataas ang Tropical Cyclone Storm Warning Signal No. 1 sa Batanes Group of Islands I @dost_pagasa",12/31/14 23:15
@IMReadyPH,Typhoon,"#SeniangPH posibleng landfall : Palawan mamayang hapon o gabi / Posibleng paglabas sa PAR: hapon bukas, Jan. 1 @dost_pagasa",12/31/14 19:35
@ANCAlerts,Typhoon,"Signal #1: Calamian Group of Islands, Guimaras, Antique, southern Iloilo Signal #2: Cuyo Island & Palawan #SeniangPH",1/4/15 12:58
@dzbb,Typhoon,"FLASH: State of calamity, idineklara na sa lalawigan ng La Union dahil sa pinsala ng bagyong #LandoPH. äóî La Union disaster officer",1/4/15 12:27
@dzbb,Typhoon,"Bagyong #LandoPH, nag-iwan ng 41 patay at 78 sugatan, ayon sa NDRRMC.",1/4/15 8:45
@TV5manila,Typhoon,"Bagyong Nona, posibleng mag-landfall sa Mindoro ngayong umaga. #bagyongnona",1/4/15 6:56
@UnangHirit,Typhoon,"Bagyong #NonaPH, nag-iwan ng malaking pinsala sa bayan ng Baco sa Oriental Mindoro.",12/30/14 23:40
@saksi,Typhoon,Umakyat na sa 12 ang naitatalang patay sa Oriental Mindoro dulot ng Bagyong #NonaPH.,12/30/14 23:11
@24OrasGMA,Typhoon,"17 na ang naitalang nasawi sa paghagupit ng Bagyong #NonaPH, ayon sa NDRRMC.",12/30/14 21:41
@TVPatrol,Typhoon,"#TVPatrol Paghahanap sa 9 nawawala dahil sa Bagyong #NonaPH, patuloy pa rin ",12/30/14 19:20
@dwiz882,Typhoon,NDRRMC: 132 domestic flights ang nakansela simula noong December 14 dahil sa #NonaPH,12/30/14 19:21
@dzrhnews,Typhoon,"#ButchoyPH lumabas na sa PAR, southwest monsoon magpapaulan sa malaking bahagi ng bansa ngayong Sabado #TambayanSaRadyo",12/30/14 13:27
@IMReadyPH,Typhoon,"Nasa labas na ng PHL Area of Responsibility ang Low Pressure Area na dating #SeniangPH, ayon sa @dost_pagasa.",12/30/14 12:56
@gmanewstvteam,Typhoon,Nakataas ang signal no. 2 sa Palawan at Cuyo Island dahil sa Bagyong #SeniangPH.,12/30/14 12:34
@DZMMTeleRadyo,Flood,"Gutter deep na baha sa Lawton, Manila. #FalconPH | via @Nikobaua http://fb.me/20KcB2AiR",12/30/14 5:53
@dzbb,Flood,"5 tao, nasawi sa mga pagbaha bunsod ng hagupit ng Habagat sa malaking bahagi ng Luzon. #SuperBalitaSaTanghaliNationwide",12/30/14 5:51
@DZMMTeleRadyo,Flood,"Baha sa Maysilo Circle sa Mandaluyong, lagpas-tuhod | via @dzmmPatrol44 #WeatherPatrol",12/30/14 5:14
@DZMMTeleRadyo,Flood,"#RadyoPatrol Gutter-deep na baha, naitala sa Taft Avenue sa Maynila",12/30/14 4:46
@gmanewsbreaking,Flood,"Halos gabinti na ang baha sa kanto ng Timog Avenue at Scout Tobias, Quezon City. | via @luisitosantos03 @dzbb",10/23/15 11:20
@dzlQ990,Flood,"Anim na bayan sa Bulacan, lubog pa rin sa baha - DZIQ Radyo Inquirer 990AM https://shar.es/1Gw8jm  | @kbdaenlle",10/23/15 5:40
@gmanewsbreaking,Flood,Lubog ngayon sa baha ang Camarines Norte State College sa Daet dahil sa patuloy na pagulan. | via @hero_peewee,10/23/15 5:29
@DZMMTeleRadyo,Flood,TINGNAN: Abot sa bangketa ang baha sa ilalim ng LRT-1 UN Ave Station sa Maynila | @zhandercayabyab #WeatherPatrol,6/8/16 5:03
@dzlQ990,Flood,Ilalim ng Pureza Stn ng LRT inabot na rin ng baha dulot ng water leak via @erwinaguilonINQ,6/6/16 23:19
@DZMMTeleRadyo,Flood,"TINGNAN: Gutter deep ang baha sa R.Papa cor. Rizal Ave sa Tondo, Maynila | via @zhandercayabyab #WeatherPatrol",12/23/15 8:02
@dzbb,Flood,"Nasa 1,800 families ang nasa evacuation center dahil sa baha, ayon kay Mayor de Jesus.",12/16/15 1:06
@DZMMTeleRadyo,Flood,Gutter deep ang baha sa ilalim ng LRT-2 Pureza Station sa Maynila #WeatherPatrol | via @zhandercayabyab,12/16/15 1:04
@News5E,Flood,"13 BRGY. SA LA PAZ, TARLAC, NALUBOG SA BAHA KAHIT DI DIREKTANG TINAMAAN NG #NONAPH",12/16/15 1:04
@DZMMTeleRadyo,Flood,TINGNAN: Lagpas bangketa ang baha sa P.Burgos (SBound) tapat ng Manila City Hall #WeatherPatrol | @zhandercayabyab,12/15/15 3:30
@TVPatrol,Flood,"#TVPatrol Apat na bayan sa Nueva Ecija, lubog pa rin sa baha #NonaPH",12/15/15 3:30
@bayanmo,Flood,"Aug. 13- Abot binti pa rin ang baha sa Fugoroso St., cor Oroquieta St., Sta. Cruz, Manila | Bayan Patroller M. Ruí±ez",12/15/15 3:30
@dwiz882,Flood,"Gordon: Ang baha nasa Pampanga at Bulacan, yung mga tubig na galing sa bundok. #NonaPH",12/15/15 3:31
@DZMMTeleRadyo,Flood,Matinding traffic nararanasan sa tapat ng Manila City Hall dahil sa gutter deep na pag baha sa lugar | @RayaCapulong,12/15/15 3:31
@IMReadyPH,Flood,"Caraga region, may mahigit 12,000 pamilya na lumikas dahil sa bagyong #SeniangPH; ilang lugar, baha pa rin, ayon kay Mazo, OCD-Region 6.",12/14/15 14:13
@gmanewsbreaking,Flood,"Ilang bahagi ng Rizal Avenue, Manila, lubog pa rin sa baha | via @luisitosantos03",12/14/15 18:36
@News5AKSYON,Flood,"Halos 60 barangay sa Pampanga,lubog pa rin sa baha matapos ang Bagyong Lando. #LandoPH #aksyonsaumaga",12/14/15 18:24
@gmanews,Flood,Lubog pa rin sa baha ang ilang lugar sa Pampanga at Bataan dahil sa pag-ulang dulot ng habagat.,1/6/16 2:44
@24OrasGMA,Flood,"Matinding baha, naranasan sa Aurora kung saan nag-landfall ang Bagyong #SantiPH. Nakatutok si @Tricia_Zafra.",12/29/15 5:29
@gmanews,Flood,14 na barangay sa Pampanga ang lubog sa baha dahil sa patuloy na pag-ulan.,12/28/15 9:34
@DZMMTeleRadyo,Flood,TINGNAN: Abot sa bangketa ang baha sa ilalim ng LRT-1 UN Ave Station sa Maynila | @zhandercayabyab #WeatherPatrol,12/29/15 2:46
@gmanewsbreaking,Flood,"Taft Avenue-UN Avenue, baha pa rin dahil sa patuloy na pag-ulan. | via @VargasMannysen @dzbb",12/25/15 2:08
@bayanmo,Flood,"Aug. 13- Abot binti pa rin ang baha sa Fugoroso St., cor Oroquieta St., Sta. Cruz, Manila | Bayan Patroller M. Ruí±ez",12/23/15 5:53
@DZMMTeleRadyo,Flood,"TINGNAN: Lagpas-bangketa ang baha sa P. Burgos, tapat ng Manila City Hall #WeatherPatrol | via @zhandercayabyab",12/23/15 2:17
@DZMMTeleRadyo,Flood,Matinding traffic nararanasan sa tapat ng Manila City Hall dahil sa gutter deep na pag baha sa lugar | @RayaCapulong,12/22/15 23:10
@dzrhnews,Flood,"Baha dahil sa tumagas na tubo sa Sta. Mesa, Maynila umabot na sa Pureza St. | via @WILLIEBOYBLUE",12/22/15 22:40
@gmanews,Flood,14 na barangay sa Pampanga ang lubog sa baha dahil sa patuloy na pag-ulan.,12/22/15 0:36
@dzbb,Flood,"As of 9:50pm, gutter deep ang baha sa Quezon Ave westbound lane (Biak na Bato) | via @luisitosantos03",12/21/15 7:12
@gmanews,Flood,Inilikas ang nasa 41 residente na nakatira sa gilid ng ilog sa QC dahil sa baha dulot ng patuloy na pag-ulan.,12/21/15 6:34
@DZMMTeleRadyo,Flood,"Bahagi ng Ramon Magsaysay Blvd.,sa Sta. Mesa Maynila, baha na | via @JohnsonDZMM",12/21/15 6:34
@DZMMTeleRadyo,Flood,"Bgy. Dilaguidi, Dilasag, Aurora, lubog sa baha dahil sa patuloy na pag-ulan | via @Dennis_Datu",12/21/15 2:34
@bayanmo,Flood,"Agosto 13, Sabado- Gutter-deep ang baha sa Sitio Dalisdis. Brgy. Camuning, Mexico, Pampanga | Kuha ni Emman Dayrit",12/21/15 2:31
@bayanmo,Flood,"Hanggang bewang ang baha sa Olongapo Gapan Rd- Dolores, San Fernando, Pampanga, Agosto 13-Sabado.",12/20/15 22:33
@DZMMTeleRadyo,Flood,TINGNAN: Baha sa tapat ng Manila City Hall sa may P. Burgos bago mag-Lagusnilad | via @Dennis_Datu #WeatherPatrol,12/20/15 22:07
@bayanmo,Flood,"LOOK: Abot-gutter na baha sa Michael st., Kingsville Executive Village, Antipolo, Rizal #WeatherPatrol @ABSCBNNews",12/20/15 14:11
@DZMMTeleRadyo,Flood,TINGNAN: May kaunting baha sa ilalim ng LRT-1 Quirino Station sa Maynila | via @zhandercayabyab,12/20/15 13:59
@24OrasGMA,Flood,"lang lugar sa Luzon at Metro Manila, lubog pa rin sa baha! Ang mga malalaking balita, mamaya sa #24OrasWeekend!",12/19/15 19:37
@dzbb,Flood,Gutter deep na baha sa area ng Pasong Tamo malapit sa Herrera St. sa Makati City.  |via @_jamesJA,12/19/15 7:28
@DZMMTeleRadyo,Flood,"TINGNAN: Baha sa San Fransisco del Monte QC, West Riverside #WeatherPatrol | via @julieannking",12/18/15 21:53
@DZMMTeleRadyo,Flood,#RadyoPatrol 80 pamilya inilikas dahil sa baha sa Malabon,12/18/15 19:25
@24OrasGMA,Flood,"Pati ospital sa San Fernando City, Pampanga, pinasok na ng baha kaya inilikas ang ilang pasyente. Nakatutok si @triciazafragma7.",12/18/15 19:01
@ABSCBNNews,Flood,"1,141 pamilya mula sa 10 barangay sa San Mateo, Rizal, inilikas na dahil sa pagbaha - Rizal PDRRMO | via @Dennis_Datu",12/18/15 18:23
@News5E,Flood,"13 BRGY. SA LA PAZ, TARLAC, NALUBOG SA BAHA KAHIT DI DIREKTANG TINAMAAN NG #NONAPH",12/18/15 18:12
@TVPatrol,Flood,"#TVPatrol 5 bayan sa Pampanga, lubog sa baha, pero marami pa rin ang ayaw lumikas #NonaPH ",12/18/15 12:21
@DZMMTeleRadyo,Flood,10 patay sa pagbaha dulot ni #SeniangPH sa Cebu,12/18/15 8:23
@dwiz882,Flood,"Gordon: Ang baha nasa Pampanga at Bulacan, yung mga tubig na galing sa bundok. #NonaPH",12/18/15 4:41
@DZMMTeleRadyo,Flood,"1 patay, 2 nawawala sa Agusan del Norte; 4 lugar malapit sa Agusan River, lubog sa baha dahil kay #SeniangPH",12/18/15 4:23
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
