Date/Time,Tweets,Account
3:03 PM - 10 Oct 2016,Bilyong Piso halaga ng pera umiikot sa loob ng Bilibid ayon kay Sebastian - DZIQ Radyo Inquirer 990AM shar.es/1Eryvl via @sharethis,@dzIQ990
8:19 AM - 10 Oct 2016,"Pangulong Duterte, binansagang “Craziest President on Earth” ng listverse.com -",@dzIQ990
6:52 AM - 10 Oct 2016,ADVISORY: Stalled bus due to flat tire at EDSA Buendia SB as of 6:38 AM. 1 lane occupied. MMDA on site. | @MMDA,@dzIQ990
4:53 AM - 10 Oct 2016,8 patay sa pagbagsak ng army helicopter sa Afghanistan shar.es/1Epzp6 | @kbdaenlle,@dzIQ990
3:57 PM - 9 Oct 2016,"Isang babae patay sa hostage taking sa isang mall sa Dasmariñas City, Cavite. Hostage taker, patay din.",@dzIQ990
12:17 PM - 9 Oct 2016,"Preliminary investigation ng DOJ laban sa Davao City bombing suspects, itinakda sa Oct. 12 DZIQ Radyo Inquirer 990AM",@dzIQ990
11:59 PM - 8 Oct 2016,"Lalaki, patay sa buy bust operation sa QC shar.es/1EWRio | @rockyrod26",@dzIQ990
8:00 PM - 8 Oct 2016,"7 katao nawawala, matapos tumaob ang sinasakyang bangka sa Indonesia  shar.es/1EWh2s | @rockyrod26",@dzIQ990
7:22 PM - 8 Oct 2016,"Mark Anthony Fernandez, walang special treatment sa kulungan shar.es/1EW5RR | Len Montaño",@dzIQ990
10:40 AM - 8 Oct 2016,“Judas” patay sa barilan sa Quezon City - DZIQ Radyo Inquirer 990AM shar.es/1EowPv via @sharethis,@dzIQ990
10:00 AM - 8 Oct 2016,Duterte pikon na sa mabagal na internet connection sa Pinas - DZIQ Radyo Inquirer 990AM shar.es/1EoJau via @sharethis,@dzIQ990
9:23 AM - 8 Oct 2016,Ilang Brgy. officials hadlang sa mga drug operations ayon sa PDEA - DZIQ Radyo Inquirer 990AM shar.es/1EoYHH via @sharethis,@dzIQ990
5:28 AM - 8 Oct 2016,Carwash boy patay sa pananambang sa Pasay shar.es/1EoHAI | @jongmanlapaz,@dzIQ990
5:27 AM - 8 Oct 2016,"Obama, hinamon ni Duterte na magsampa ng kaso laban sa kaniya shar.es/1EoHh0 | @chonayu1",@dzIQ990
5:23 AM - 8 Oct 2016,"Mga benepisyaryo ng land reform sa Quezon, kinasuhan ng pagnanakaw shar.es/1EoH1O | @kbdaenlle",@dzIQ990
5:22 AM - 8 Oct 2016,"Street of lawlessness' sa Tondo, malinis na shar.es/1Eo3ML | @kbdaenlle",@dzIQ990
8:59 PM - 7 Oct 2016,Drug war ni Duterte nakakuha ng excellent rating sa SWS survey - DZIQ Radyo Inquirer 990AM shar.es/1EbXoy | @donadominguez,@dzIQ990
8:22 PM - 7 Oct 2016,"WATCH: 7 ang patay, 260 ang arestado sa one-time big-time operation sa Quiapo Maynila - shar.es/1Ebn65 | @_haniabbas",@dzIQ990
7:55PM - 7 Oct 2016,"Tatlong naarestong suspek sa Davao City bombing, sinampahan na ng kaso sa DOJ- DZIQ Radyo Inquirer 990AM shar.es/1EHMns | @JEPOI04",@dzIQ990
4:49 PM - 7 Oct 2016,"Davao City bombing, “case closed” na matapos madakip ang tatlong pangunahing suspek - shar.es/1EHAC7 | @iamruelperez",@dzIQ990
4:03 PM - 7 Oct 2016,Lorenzana: Hindi umano bababa sa 10 suspek ang nakiisa sa pagpaplano at pambobomba | @iamruelperez,@dzIQ990
1:57PM - 7 Oct 2016,"Barangay Chairman sa Agusan Del Norte, patay sa pamamaril - DZIQ Radyo Inquirer 990AM shar.es/1EHub7 | @erwinaguilonINQ",@dzIQ990
12:31 PM - 7 Oct 2016,Dela Rosa: Hindi magagalusan si Matobato sa PNP - DZIQ Radyo Inquirer 990AM shar.es/1EHp23 | @donadominguez,@dzIQ990
11:49 AM - 7 Oct 2016,"Brgy. Chairman, 6 na iba, patay sa one-time big-time operation sa Maynila; mahigit 200 na ang inaresto shar.es/1EHbZQ | @_haniabbas",@dzIQ990
11:27 AM - 7 Oct 2016,"Brgy. Chairman, 6 na iba, patay sa one-time big-time operation sa Maynila; mahigit 200 na ang inaresto shar.es/1EHbZQ | @_haniabbas",@dzIQ990
12:31 PM - 7 Oct 2016,BREAKING: Pito na ang patay sa one time big time operations sa Quiapo Maynila- @_haniabbas,@dzIQ990
11:09 AM - 7 Oct 2016,"Mayor Erap Estrada, dumating na sa isinasagawang malawakang anti-drug operations sa Quiapo Maynila | @_haniabbas",@dzIQ990
5:54 AM - 7 Oct 2016,"Barker, patay sa pamamaril sa Parañaque shar.es/1E3dVv | @jongmanlapaz",@dzIQ990
5:53 AM - 7 Oct 2016,"Pagpunta ni Duterte sa China, walang kinalaman sa military ties nito sa Pilipinas shar.es/1E3dFy | @kbdaenlle",@dzIQ990
5:52 AM - 7 Oct 2016,"Ikatlong pagdinig ng Kamara sa isyu ng droga sa Bilibid, inabot ng 12 oras; Ronnie Dayan muntik nang ipaaresto",@dzIQ990
5:48 AM - 7 Oct 2016,"100% electrification ng buong Pilipinas, target ng DOE sa 2020 shar.es/1E3dsv | @jay_dones",@dzIQ990
5:45 AM - 7 Oct 2016,"Edgar Matobato, ipinaaaresto na ng korte sa Davao shar.es/1E3dn3 | @kbdaenlle",@dzIQ990
5:45 AM - 7 Oct 2016,5 katao patay dahil sa rido sa Basilan shar.es/1E3eMa | @kbdaenlle,@dzIQ990
5:43 AM - 7 Oct 2016,"Comelec, ikinatuwa ang “most improved net sincerity rating” kontra sa katiwalian sa SWS survey shar.es/1E3eEw | @albarmarch22",@dzIQ990
5:33 PM - 6 Oct 2016,Mga artistang nahulihan ng droga aktibo ngayon sa gardening ayon sa QCPD - DZIQ Radyo Inquirer 990AM shar.es/1E0R9c via @sharethis,@dzIQ990
4:56 PM - 6 Oct 2016,Meralco may tapyas presyo sa kuryente - DZIQ Radyo Inquirer 990AM shar.es/1E09Fs via @sharethis,@dzIQ990
3:56 PM - 6 Oct 2016,Dating tauhan ni De Lima pumalag sa bintang na kolektor siya ng pera - DZIQ Radyo Inquirer 990AM shar.es/1E0K5L via @sharethis,@dzIQ990
3:41 PM - 6 Oct 2016,De Lima magpapabaril kapag napatunayang sangkot siya sa droga - DZIQ Radyo Inquirer 990AM shar.es/1E0zFI via @sharethis,@dzIQ990
11:00 AM - 6 Oct 2016,"Mga artistang sangkot sa illegal drugs, isasailaim sa buy-bust kapag hindi sumuko - shar.es/1E0rjL | @iamruelperez",@dzIQ990
10:59 AM - 6 Oct 2016,"Napalitan nang unit ng Galaxy Note 7, umusok pa rin; biyahe ng eroplano naantala - shar.es/1E0rGQ | @iammarieelaine",@dzIQ990
10:33 AM - 6 Oct 2016,"Kaso ng Chikungunya sa Odiongan, Romblon, tumaas - DZIQ Radyo Inquirer 990AM shar.es/1E0fy3 | @donadominguez",@dzIQ990
10:32 AM - 6 Oct 2016,"Dating aide ni De Lima, Vicente Sy, Lt. Col. Marcelino, tetestigo sa Bilibid house probe - shar.es/1E0fJc | @isaavendanoDZIQ",@dzIQ990
8:41 AM - 6 Oct 2016,"Clearing operations sa Intramurous, Maynila sinimulan na kasunod ng kautusan ni Tourism Sec. Wanda Teo | @erwinaguilonINQ",@dzIQ990
8:33 AM - 6 Oct 2016,"Presidential election sa Haiti, sinuspinde dahil sa hurricane Matthew - DZIQ Radyo Inquirer 990AM shar.es/1EmLqb | @donadominguez",@dzIQ990
8:16 AM - 6 Oct 2016,"Luis Jalandoni nagbitiw bilang chairman ng NDFP peace panel; Fidel Agcaoili, itinalagang kapalit - shar.es/1EmM44 | @_haniabbas",@dzIQ990
6:34 AM - 6 Oct 2016,"Typhoon Chaba, nanalasa sa South Korea, tatlo ang patay - DZIQ Radyo Inquirer 990AM shar.es/1Em9YO | @donadominguez",@dzIQ990
5:21 AM - 6 Oct 2016,"Paglabag sa human rights, hindi palalampasin ng US; usapin sa EDCA nais namang buhayin sa Senado shar.es/1EmzIB | @kbdaenlle",@dzIQ990
9:01 AM - 13 Oct 2016,"Muntik nang suntukan sa pagitan nina Barbers at Pichay, may pinaghugutan na ibang isyu - shar.es/1E5s7P | @donadominguez",@dzIQ990
9:01 AM - 13 Oct 2016,"Mga tindahan ng paputok sa Bocaue, ipinasara muna - DZIQ Radyo Inquirer 990AM shar.es/1E5sHA | @RickyBrozas",@dzIQ990
8:42 AM - 13 Oct 2016,"MMDA, nagsasagawa ng clearing operations sa bahagi ng Taft Avenue at Roxas Blvd | Photo via Jomar Piquero",@dzIQ990
8:32 AM - 13 Oct 2016,"Pulis, patay sa pananambang sa La Union - DZIQ Radyo Inquirer 990AM shar.es/1E5rvX | @jongmanlapaz",@dzIQ990
6:53 AM - 13 Oct 2016,Sangkot sa aksidente ang isang kotse at tricycle. Pawang sakay ng tricycle ang sugatan at kabilang sa sugatan ay isang estudyante | @MMDA,@dzIQ990
6:52 AM - 13 Oct 2016,JUST IN: 6 ang sugatan sa aksidente sa Batasan Road sa Batasan Hills QC | Ayon kay JC Sto. Domingo ng @MMDA Metrobase,@dzIQ990
6:06 AM - 13 Oct 2016,"UPDATE: Multiple collision at EDSA Boni MRT SB involving car, MC and closed van, cleared as of 5:53 AM. All lanes passable | @MMDA",@dzIQ990
6:02 AM - 13 Oct 2016,"Biyahe ng #MRT3 nagka-aberya, mga pasahero sa Cubao SB pinababa dahil sa train failure | @dotcmrt3",@dzIQ990
4:53 AM - 13 Oct 2016,86% bilib sa kampanya ng gobyerno kontra droga - DZIQ Radyo Inquirer 990AM shar.es/1EuFzW | @kbdaenlle,@dzIQ990
4:52 AM - 13 Oct 2016,"Mga sasama sa China visit ni Pres. Duterte, lumobo na sa 400 - DZIQ Radyo Inquirer 990AM shar.es/1EuFe4 | @kbdaenlle",@dzIQ990
4:43 AM - 13 Oct 2016,"Mga kaalyadong bansa, dapat mag-donate ng rehab center sa halip na bumatikos-Duterte  shar.es/1EuQhO | @jay_dones",@dzIQ990
4:41 AM - 13 Oct 2016,"Mga kaalyadong bansa, dapat mag-donate ng rehab center sa halip na bumatikos-Duterte  shar.es/1EuQhO | @jay_dones",@dzIQ990
4:41 AM - 13 Oct 2016,"Nationwide firecracker ban, pinag-iisipan na ng Palasyo - DZIQ Radyo Inquirer 990AM shar.es/1EuQf6 | Chona Yu",@dzIQ990
4:40 AM - 13 Oct 2016,"Globe at PLDT, pinare-recall na ang mga Samsung Galaxy Note 7 - DZIQ Radyo Inquirer 990AM shar.es/1EuQbR | @kbdaenlle",@dzIQ990
4:40 AM - 13 Oct 2016,"400 motorista, nasita sa dry run ng 'no window hours' policy - DZIQ Radyo Inquirer 990AM shar.es/1EuQ31 | @kbdaenlle",@dzIQ990
4:40 AM - 13 Oct 2016,"P10-M na halaga ng mga pekeng produkto, kumpiskado sa CDO - DZIQ Radyo Inquirer 990AM shar.es/1EuQmW | @kbdaenlle",@dzIQ990
4:39 AM - 13 Oct 2016,"Janet Jackson, buntis sa edad na 50 - DZIQ Radyo Inquirer 990AM shar.es/1EuUN3 | Rachel Cabrera",@dzIQ990
4:39 AM - 13 Oct 2016,Agot Isidro nanindigan laban sa mga bashers - DZIQ Radyo Inquirer 990AM shar.es/1EuUVg | @kbdaenlle,@dzIQ990
4:39 AM - 13 Oct 2016,"Meralco, 2-1 na kontra Ginebra - DZIQ Radyo Inquirer 990AM shar.es/1EuUFM | Jan Escosio",@dzIQ990
4:38 AM - 13 Oct 2016,"Trump, magiging mapanganib na pangulo kung mananalo -UNHR - DZIQ Radyo Inquirer 990AM shar.es/1EuU9e | @kbdaenlle",@dzIQ990
2:04 AM - 13 Oct 2016,"Lalaki patay sa drug buy bust operation ng MPD Station 10 sa Pandacan, Manila | @jongmanlapaz",@dzIQ990
2:00 AM - 13 Oct 2016,Barker patay sa pamamaril ng riding in tandem sa ilalim ng Gil Puyat LRT station | @jongmanlapaz,@dzIQ990
9:00 AM - 13 Oct 2016,"TINGNAN: SUV, inararo ang taxi bago sumalpok sa poste bit.ly/2d8iihY",@DZMMTeleRadyo
8:59 AM - 13 Oct 2016,"TINGNAN: Haba ng pila ng mga pasahero sa MRT North Ave Station, umabot na sa EDSA | via @zhandercayabyab",@DZMMTeleRadyo
9:00 AM - 13 Oct 2016,"TINGNAN: MRT North Ave Station, puno na ng pasahero | via @zhandercayabyab",@DZMMTeleRadyo
8:54 AM - 13 Oct 2016,"Tren ng MRT, tumirik pagkalampas ng North Ave Station sa QC (Photo: @jacquemanabat) | via @zhandercayabyab",@DZMMTeleRadyo
8:58 AM - 13 Oct 2016,"Mga tren ng MRT sa Cubao at North Avenue stations sa QC, nagkaaberya | via @zhandercayabyab",@DZMMTeleRadyo
8:32 AM - 13 Oct 2016,"2 pulis, suspek sa pagpatay sa regional chairperson ng Citizen Crime Watch sa Oriental Mindoro | via @NoelAlamarDZMM",@DZMMTeleRadyo
8:30 AM - 13 Oct 2016,"Pulse Asia: Duterte, nakakuha ng 86% rating bit.ly/2d8hSIv",@DZMMTeleRadyo
7:30 AM - 13 Oct 2016,"Mga tindero ng paputok sa pagsabog sa Bocaue, iniimbestigahan bit.ly/2d8k2b1",@DZMMTeleRadyo
6:35 AM - 13 Oct 2016,"Ayon sa naaksidenteng driver, hindi niya nakita ang mga barrier sa u-turn slot sa Mindanao Ave., QC | via @zhandercayabyab",@DZMMTeleRadyo
6:35 AM - 13 Oct 2016,"Driver ng trak, isinisi ang aksidente sa mga nanlilimahid nang barrier kaya hindi niya nakita | via @zhandercayabyab",@DZMMTeleRadyo
6:33 AM - 13 Oct 2016,"Trak, bumangga sa concrete barriers sa u-turn slot sa Mindanao Ave., QC | via @zhandercayabyab",@DZMMTeleRadyo
6:20 AM - 13 Oct 2016,"Motorsiklo, sumuot sa ilalim ng delivery van sa EDSA corner Pinatubo Street, Mandaluyong City. | via @alexiuscalda",@DZMMTeleRadyo
6:16 AM - 13 Oct 2016,"EARLIER: 8-wheeler truck, rinagasa ang concrete barrier sa Mindanao Ave. | via @RPfredcipres",@DZMMTeleRadyo
6:15 AM - 13 Oct 2016,"EARLIER: Lalaki, sugatan matapos pagbabarilin ng 5 riding-in-tandem sa Mandaluyong City | via @RPfredcipres",@DZMMTeleRadyo
6:15 AM - 13 Oct 2016,"EARLIER: Lalaki, patay matapos mabundol ng bus sa Valenzuela City | via @RPfredcipres",@DZMMTeleRadyo
9:47 PM - 12 Oct 2016,"JUST IN: Meralco tinalo ang Ginebra sa Game 3, 107-103",@DZMMTeleRadyo
8:00 PM - 12 Oct 2016,"Failon Ngayon ng DZMM, wagi bilang Best News Commentary Program sa #38thCMMA | via @DavidHalligOro",@DZMMTeleRadyo
8:08 PM - 13 Oct 2016 ,"Hari ng Thailand na si Bhumibol Adulyadej, pumanaw na sa edad na 88.",@DZMMTeleRadyo
7:52 PM - 13 Oct 2016 ,"Sen. Leila de Lima, pinuna ang pang-aabuso sa social media ng mga taga-suporta ni Pangulong Duterte. | ulat ni @RayaCapulong",@DZMMTeleRadyo
7:00 PM - 13 Oct 2016 ,"10 kilo ng hinihinalang shabu, inabandona sa Pampanga bit.ly/2d9dVDu",@DZMMTeleRadyo
6:32 PM - 13 Oct 2016 ,"Balak na pagbabawal sa land conversion ng administrasyon, hinaharang ni VP Robredo | via @jonibanez35",@DZMMTeleRadyo
5:45 PM - 13 Oct 2016 ,"Planong nationwide ban sa paputok, suportado ng EcoWaste Coalition | via @jonibanez35",@DZMMTeleRadyo
5:40 PM - 13 Oct 2016 ,"Kaso ng kapatid ng aktres na si Maritoni Fernandez, hindi pa sarado, ayon sa QCPD. | via @jonibanez35",@DZMMTeleRadyo
5:00 PM - 13 Oct 2016 ,"2 patay, 8 sugatan sa banggaan sa TPLEX bit.ly/2d9104o",@DZMMTeleRadyo
4:39 PM - 13 Oct 2016 ,#RadyoPatrol 39 sugatan sa gulo sa Manila City Jail,@DZMMTeleRadyo
4:40 PM - 13 Oct 2016 ,"#RadyoPatrol 3 South Korean, natagpuang patay sa Pampanga",@DZMMTeleRadyo
4:31 PM - 13 Oct 2016 ,"#RadyoPatrol Gobernador ng Camarines Norte, pinadi-dismiss sa serbisyo ng Ombudsman. | ulat ni @jonibanez35",@DZMMTeleRadyo
4:18 PM - 13 Oct 2016 ,"Clearing operations, isinagawa ng Manila LGU sa Intramuros | via @Dennis_Datu",@DZMMTeleRadyo
4:16 PM - 13 Oct 2016 ,"#RadyoPatrol Patay sa double barrel ng PNP, higit 1,500 na | ulat ni @dzmmPatrol44",@DZMMTeleRadyo
4:11 PM - 13 Oct 2016 ,"#RadyoPatrol Kaso ng EJK, umabot na sa 1,298",@DZMMTeleRadyo
3:42 PM - 13 Oct 2016 ,NDRRMC kasalukuyang nagpupulong bilang paghahanda sa posibleng epekto ni #KarenPH | via @sherieanntorres,@DZMMTeleRadyo
3:08 PM - 13 Oct 2016 ,"Lalaki, patay matapos mabangga ng bus sa Valenzuela bit.ly/2d8FXig",@DZMMTeleRadyo
3:06 PM - 13 Oct 2016 ,"35 inmate, 4 tauhan ng BJMP sugatan sa noise barrage sa Manila City Jail, ayon kay Supt. Gerald Bantag | via @Nikobaua",@DZMMTeleRadyo
1:18 PM - 13 Oct 2016 ,"Lalaki, arestado dahil sa pagbebenta ng pekeng pera bit.ly/2dMmjqb",@DZMMTeleRadyo
12:59 PM - 13 Oct 2016 ,"#HeadlinePilipinas 26 bundles ng pekeng US dollar, nasamsam",@DZMMTeleRadyo
12:58 PM - 13 Oct 2016 ,"#HeadlinePilipinas Higit 200 kahon ng smuggled na sigarilyo, nasamsam",@DZMMTeleRadyo
12:37 PM - 13 Oct 2016 ,"#HeadlinePilipinas Mga preso sa Manila City Jail, nag-noise barrage | Ulat ni RP 42 @Dennis_Datu",@DZMMTeleRadyo
5:56 AM - 13 Oct 2016 ,"Pangulong Rodrigo Duterte, nagpaabot ng pakikiramay sa pagpanaw ni Thai King Bhumibol Adulyade. | via @Benjielite",@dzbb
5:10 AM - 13 Oct 2016,"Onsehan sa droga, nauwi sa pamamaril sa Quezon City; Isang lalaki, sugatan. | via @olanbola",@dzbb
3:31 AM - 13 Oct 2016,Biyaheng China si Pangulong Duterte sa susunod na linggo. | via @24OrasGMA,@dzbb
3:18 AM - 13 Oct 2016,"Presyo ng kandila, mananatili sa orihinal nitong presyo para sa nalalapit na undas, ayon sa DTI. | via @dzbbsamnielsen",@dzbb
2:30 AM - 13 Oct 2016,"Lalaking pinaghihinalaang tulak ng iligal na droga, patay matapos manlaban sa pulisya sa Brgy. Tumana, Marikina City. | via @mamutuesday",@dzbb
1:15 AM - 13 Oct 2016,"Kaugnayan ni Pang. Duterte sa drug related killings at sa DDS, hindi napatunayan sa senado, ayon kay Sen. Gordon. | via @nimfaravelo",@dzbb
12:31 AM - 13 Oct 2016,"PHOTO: Sen. Leila De Lima, nagbibigay ng talumpati sa College of the Holy Spirit--Manila Campus. | via @CecilVillarosa",@dzbb
12:23 AM - 13 Oct 2016,FLASH: Ikalawang reklamo na may kaugnayan sa iligal na droga vs Sen. @AttyLeila. inihain na sa DOJ. | via @CecilVillarosa,@dzbb
11:58 PM - 12 Oct 2016,"Mga preso ng Manila City jail, nag-noise barrage, dalawang preso nasugatan. #SuperBalitaSaHapon",@dzbb
11:57 PM - 12 Oct 2016,"Bentahan ng paputok sa Bocaue, Bulacan, ipinatagil muna. #SuperBalitaSaHapon",@dzbb
11:55 PM - 12 Oct 2016,"Supt. Bantag: 35 inmate; 4 BJMP personnel, sugatan sa gulo sa Manila City Jail. | via @CecilVillarosa",@dzbb
11:55 PM - 12 Oct 2016,"PHOTO: Manila City Jail Warden Supt. Gerald Bantag, pinulong ang mga mayor o pinuno ng bawat dormitoryo matapos ang gulo kanina.",@dzbb
11:53 PM - 12 Oct 2016,Paglabag sa Sec 5 (sale/trading) at Sec 26 (conspirary) ng RA 9165 ang inihain nina Esmeralda at Lasala vs De Lima. | via @CecilVillarosa,@dzbb
11:53 PM - 12 Oct 2016,"Dating sexy star na si Sabrina M, binasahan na ng sakdal sa kaso kaugnay sa paggamit at pagbebenta ng iligal na droga. #SuperBalitaSaHapon",@dzbb
9:44 PM - 12 Oct 2016,"VP @lenirobredo, ipinarerekunsidera kay Pang. Duterte ang 2 taong pagbabawal sa land conversion. | via @wengsalvacion",@dzbb
9:42 PM - 12 Oct 2016,"PNP Cebu: Sa 595 operations, 927 buhay at napakakulong na suspects",@dzbb
9:27 PM - 12 Oct 2016,"Cebu Police Chief: 18 patay sa police operations, 52 naman ang DUI.",@dzbb
